sample_id,cheating_score,label_id,cheating_label,gaze_away_count,gaze_away_total_sec,head_turn_count,head_turn_max_angle,phone_detected_count,multiple_faces_count,audio_anomaly_count,whisper_detected_count,tab_switch_count,fullscreen_exit_count,identity_mismatch_flag,typing_pause_count,answer_change_count,session_duration_sec,audio_duration_ms,audio_rms_energy,audio_zero_crossing_rate,audio_spectral_centroid_hz,audio_spectral_rolloff_hz,audio_spectral_flatness,audio_tempo_bpm,audio_speech_rate_syl_per_sec,audio_mfcc_1,audio_mfcc_2,audio_mfcc_3,audio_mfcc_4,audio_mfcc_5,audio_mfcc_6,audio_mfcc_7,audio_mfcc_8,audio_mfcc_9,audio_mfcc_10,audio_mfcc_11,audio_mfcc_12,audio_mfcc_13,audio_delta_mfcc_1,audio_delta_mfcc_2,audio_delta_mfcc_3,audio_delta_mfcc_4,audio_delta_mfcc_5,audio_delta_mfcc_6,audio_delta_mfcc_7,audio_delta_mfcc_8,audio_delta_mfcc_9,audio_delta_mfcc_10,audio_delta_mfcc_11,audio_delta_mfcc_12,audio_delta_mfcc_13,audio_class_id,audio_is_suspicious,eye_left_pupil_x,eye_left_pupil_y,eye_right_pupil_x,eye_right_pupil_y,eye_iris_left_offset_x,eye_iris_left_offset_y,eye_iris_right_offset_x,eye_iris_right_offset_y,eye_head_yaw_deg,eye_head_pitch_deg,eye_blink_rate_per_min,eye_fixation_duration_ms,eye_saccade_velocity,eye_looking_away,face_recog_cosine_similarity,face_recog_euclidean_distance,face_recog_is_match,expression_face_width,expression_face_height,expression_mouth_open_ratio,expression_eye_openness_left,expression_eye_openness_right,expression_eyebrow_raise_left,expression_eyebrow_raise_right,expression_AU1,expression_AU2,expression_AU3,expression_AU4,expression_AU5,expression_AU6,expression_AU7,expression_AU8,expression_AU9,expression_AU10,expression_AU11,expression_AU12,expression_AU13,expression_AU14,expression_AU15,expression_AU16,expression_AU17,expression_emotion_id,expression_confidence,object_total_objects_detected,object_suspicious_object_count,object_avg_detection_confidence,object_phone_detected_flag,pose_shoulder_width_px,pose_head_tilt_angle,pose_torso_lean_angle,pose_hand_near_face,pose_movement_velocity,pose_nose_x,pose_nose_y,pose_nose_conf,pose_left_eye_x,pose_left_eye_y,pose_left_eye_conf,pose_right_eye_x,pose_right_eye_y,pose_right_eye_conf,pose_left_ear_x,pose_left_ear_y,pose_left_ear_conf,pose_right_ear_x,pose_right_ear_y,pose_right_ear_conf,pose_left_shoulder_x,pose_left_shoulder_y,pose_left_shoulder_conf,pose_right_shoulder_x,pose_right_shoulder_y,pose_right_shoulder_conf,pose_left_elbow_x,pose_left_elbow_y,pose_left_elbow_conf,pose_right_elbow_x,pose_right_elbow_y,pose_right_elbow_conf,pose_left_wrist_x,pose_left_wrist_y,pose_left_wrist_conf,pose_right_wrist_x,pose_right_wrist_y,pose_right_wrist_conf,pose_label_id,pose_is_suspicious,gaze_away_ratio,obj_suspicion_ratio
197,2,0,honest,0,0.0,2,44.6,0,0,0,0,1,0,0,4,4,2162.0,584.0,0.00179,0.0002,556.9,824.5,0.101,139.0,1.69,-2.033,8.832,-20.817,6.836,16.21,9.274,-2.53,-12.173,3.719,9.889,-4.398,5.044,-1.489,-0.806,1.15,-1.99,-0.226,1.841,-0.489,-0.511,-1.831,1.445,2.332,1.353,-2.18,0.127,0,0,0.509,0.5454,0.5689,0.5473,0.04,0.1701,0.0781,0.1747,4.93,15.11,9.2,411.5,287.1,0,0.9572,0.3301,1,116.3,144.3,0.024,0.396,0.198,0.278,0.278,0.851,0.424,0.098,0.056,0.603,0.0,0.095,0.33,0.109,0.091,0.0,0.0,0.499,0.636,0.685,0.191,0.156,2,0.843,4,1,0.8440749999999999,0,163.3,10.25,3.43,0,-0.2,0.4718,0.3883,0.919,0.5449,0.3185,0.889,0.535,0.3032,0.905,0.5555,0.3585,0.847,0.5913,0.3317,1.014,0.532,0.3543,0.882,0.5138,0.3261,0.814,0.5869,0.2946,0.782,0.4731,0.2001,0.963,0.452,0.3053,0.953,0.6075,0.2873,0.887,0,0,0.0,0.25
198,10,0,honest,3,10.6,0,0.0,0,0,0,0,0,0,0,4,8,1564.0,537.0,0.00869,0.1399,3139.1,5020.9,0.2274,137.0,1.77,29.983,-10.375,15.605,4.209,-33.375,-3.442,-11.842,40.388,13.087,-12.655,17.191,-6.049,-6.223,3.787,-1.34,2.641,-0.055,-3.532,-0.643,-2.135,3.831,0.901,-1.955,1.562,0.782,-0.578,2,1,0.5507,0.5302,0.6086,0.5321,0.1317,0.0052,0.054,0.0073,9.59,2.18,11.8,298.0,163.8,0,0.6502,1.1301,0,111.4,141.7,0.117,0.348,0.365,0.372,0.369,0.776,0.442,0.079,0.121,0.469,0.0,0.165,0.322,0.0,0.305,0.0,0.05,0.404,0.482,0.499,0.1,0.311,2,0.846,2,1,0.7960499999999999,1,185.3,-13.04,-4.36,1,3.088,0.5377,0.4294,0.748,0.5561,0.3371,0.781,0.58,0.4027,0.985,0.5575,0.3705,0.96,0.487,0.3943,0.853,0.4972,0.4387,0.8,0.5604,0.3001,0.814,0.5363,0.3691,0.771,0.5781,0.4482,0.856,0.5199,0.4059,0.766,0.482,0.4049,0.969,5,1,0.0067774936061381075,0.5
199,29,1,minor_infractions,4,21.4,3,23.1,0,1,2,1,1,1,0,4,4,1784.0,509.0,0.01115,0.2434,1855.3,2717.0,0.2774,110.6,2.12,8.496,-14.049,9.267,-24.51,5.978,-7.622,-19.872,-9.584,13.176,16.428,20.167,5.076,2.353,1.042,-1.594,0.433,0.036,1.299,-1.835,-3.153,-1.993,0.365,1.381,-0.11,-0.15,-0.197,3,0,0.5729,0.5434,0.6318,0.5427,0.0689,0.1563,0.0984,0.1717,7.47,15.23,15.9,271.8,288.0,1,0.9904,0.4452,1,117.4,134.1,0.239,0.394,0.341,0.48,0.509,0.056,0.941,0.617,0.088,0.262,0.24,0.066,0.0,0.067,0.155,0.048,0.155,0.249,0.155,0.934,0.54,0.344,4,0.703,2,0,0.93045,0,138.9,-11.6,0.67,1,2.67,0.5532,0.2617,0.91,0.5029,0.2851,0.88,0.5202,0.2836,0.907,0.5328,0.3225,0.876,0.5251,0.3218,0.777,0.4401,0.2614,0.803,0.6182,0.3109,0.883,0.5001,0.2859,0.86,0.585,0.3188,0.901,0.5488,0.3102,0.82,0.4851,0.2901,0.858,5,1,0.011995515695067264,0.0
200,66,3,severe_cheating,14,70.7,18,174.2,1,4,6,9,5,5,1,2,2,1765.0,538.0,0.00609,0.2201,1808.4,2533.7,0.2777,111.5,1.38,3.292,7.991,-7.708,-6.508,8.104,-11.415,-8.419,5.37,16.26,3.475,-13.065,33.552,-19.021,1.087,2.312,-1.419,-2.269,1.429,-2.369,-2.574,1.775,1.338,0.412,-2.985,3.701,-3.078,3,0,0.6414,0.5163,0.6975,0.5147,0.2366,0.0293,0.233,0.0322,25.26,4.49,15.3,167.4,509.6,1,0.9086,0.36,1,126.0,140.0,0.016,0.36,0.339,0.241,0.341,0.651,0.632,0.105,0.204,0.48,0.006,0.081,0.179,0.119,0.284,0.107,0.059,0.53,0.367,0.527,0.474,0.028,2,0.779,4,3,0.8722,1,166.3,-3.6,10.02,1,2.733,0.4593,0.244,0.865,0.5012,0.2516,0.882,0.498,0.2956,0.941,0.539,0.3064,0.853,0.48,0.2707,0.811,0.4583,0.2507,0.854,0.5401,0.2673,0.972,0.4736,0.3427,0.891,0.5028,0.2474,1.008,0.5042,0.2639,0.987,0.4614,0.2993,0.803,5,1,0.04005665722379603,0.75
201,15,0,honest,0,0.0,0,0.0,0,0,0,0,1,0,0,4,3,1643.0,482.0,0.00733,0.2058,1633.2,2836.1,0.3417,130.4,2.5,26.725,-7.209,6.786,39.555,-7.754,-32.746,-7.241,13.455,37.789,27.104,-3.771,-0.018,-0.559,2.756,-0.163,1.438,2.727,-0.183,-4.714,-3.297,1.523,3.587,1.998,-0.63,-1.638,-1.446,3,0,0.3533,0.5436,0.4142,0.5386,-0.4024,0.0723,-0.3781,0.0554,-37.92,5.43,12.1,196.8,331.6,1,0.8969,0.3782,1,120.8,158.5,0.206,0.339,0.337,0.459,0.391,0.719,0.725,0.26,0.207,0.579,0.245,0.502,0.437,0.466,0.478,0.409,0.419,0.569,0.718,0.289,0.107,0.447,5,0.923,3,2,0.8227000000000001,0,137.8,0.69,17.25,0,1.088,0.5162,0.454,0.802,0.5926,0.4804,0.869,0.5453,0.3613,0.774,0.5112,0.4381,0.811,0.5335,0.3887,0.776,0.5882,0.3728,0.941,0.4661,0.3359,0.805,0.5818,0.4308,0.948,0.6153,0.4414,0.89,0.513,0.3651,1.038,0.6087,0.4295,0.755,3,0,0.0,0.6666666666666666
202,35,2,moderate_cheating,8,33.4,4,73.9,2,2,6,3,3,4,0,3,7,2069.0,533.0,0.00176,0.0412,576.6,686.1,0.1262,113.2,1.67,17.293,2.061,-10.05,10.075,12.192,-2.799,-0.671,0.183,-27.842,-27.81,43.758,-0.644,-1.328,2.068,-0.459,-0.34,1.85,1.4,-0.192,0.941,-0.518,-1.883,-3.502,3.811,-1.773,1.536,0,0,0.3175,0.4984,0.3854,0.4983,-0.3204,0.0194,-0.3386,-0.0201,-35.8,-0.55,14.1,154.0,433.3,1,0.9017,0.5329,1,125.4,144.3,0.313,0.301,0.314,0.268,0.127,0.941,0.758,0.348,0.136,0.883,0.369,0.616,0.722,0.343,0.565,0.385,0.448,0.596,0.787,0.274,0.003,0.41,5,0.689,2,1,0.7478,0,153.8,17.22,7.42,0,0.905,0.5304,0.3505,0.841,0.4938,0.3909,0.846,0.4708,0.3497,0.93,0.5594,0.4705,0.81,0.5172,0.4282,0.842,0.5087,0.452,0.847,0.499,0.387,0.941,0.5167,0.3633,0.852,0.5154,0.336,0.866,0.5434,0.46,0.874,0.5247,0.4504,0.797,3,0,0.016143064282261962,0.5
203,18,0,honest,3,13.1,0,0.0,0,0,1,0,1,0,0,0,0,1878.0,482.0,0.04732,0.1446,2424.8,2832.6,0.0951,127.9,3.94,-0.622,-1.703,2.744,18.836,15.329,-3.648,15.39,27.053,-0.91,-9.775,5.364,20.543,-0.673,1.188,0.183,-0.151,2.195,1.369,-2.065,0.376,3.825,-0.208,-0.293,-0.363,1.72,-0.497,1,1,0.4973,0.4591,0.5614,0.4659,0.0079,-0.0456,0.0088,-0.0299,-0.34,-5.69,6.5,276.1,294.1,0,0.2483,1.5061,0,124.5,139.7,0.196,0.326,0.364,0.443,0.587,0.462,0.302,0.144,0.05,0.495,0.295,0.208,0.428,0.1,0.078,0.115,0.137,0.119,0.1,0.0,0.045,0.205,1,0.818,1,1,0.8641,0,137.8,7.25,1.16,0,2.922,0.4647,0.4065,0.962,0.4848,0.4454,0.813,0.435,0.2648,1.022,0.5003,0.3726,0.995,0.4473,0.3637,0.867,0.4582,0.3574,0.779,0.5146,0.3631,0.809,0.4137,0.3633,0.846,0.4895,0.385,0.907,0.4414,0.4059,0.883,0.4179,0.302,0.905,4,1,0.0069755058572949944,1.0
204,83,3,severe_cheating,22,100.0,16,47.2,2,2,8,4,14,9,0,0,4,1996.0,489.0,0.00256,0.0936,580.2,513.7,0.1737,97.1,0.8,-16.202,-1.057,4.743,9.446,10.463,-16.185,9.568,10.959,-14.259,6.278,4.341,-5.129,-22.29,-2.921,1.097,1.188,1.413,0.455,-2.481,0.021,-0.814,-1.843,0.819,-0.515,1.897,-2.468,0,0,0.6499,0.5162,0.7111,0.5097,0.2803,0.0389,0.2536,0.0333,27.36,2.9,7.4,171.1,418.1,1,0.8719,0.3422,1,105.6,162.4,0.039,0.406,0.299,0.493,0.686,0.506,0.322,0.149,0.0,0.548,0.289,0.0,0.341,0.084,0.098,0.066,0.017,0.023,0.011,0.076,0.115,0.0,1,0.702,1,1,0.9353,0,179.6,9.18,-2.65,1,2.091,0.4481,0.3605,0.991,0.5054,0.3361,1.002,0.5073,0.2837,0.837,0.5661,0.2752,0.898,0.4398,0.2343,0.881,0.4701,0.32,0.846,0.5369,0.3079,0.958,0.428,0.3318,0.847,0.5419,0.2164,0.925,0.5446,0.2735,0.865,0.5278,0.2974,0.816,5,1,0.050100200400801605,1.0
205,3,0,honest,2,9.3,2,27.3,0,0,1,0,0,0,0,5,0,1806.0,455.0,0.00585,0.2856,1659.1,2782.1,0.4064,112.3,1.58,10.571,-12.326,-13.898,-15.169,16.81,14.056,-6.5,-7.226,-16.031,14.976,-12.541,-18.733,-9.448,0.162,-1.423,-2.475,-1.487,1.196,1.647,-0.72,-0.383,-0.895,1.013,0.3,-1.343,-0.732,3,0,0.672,0.5097,0.728,0.5078,0.3402,0.019,0.4047,0.0292,36.63,1.05,18.8,249.2,384.1,1,0.9357,0.2964,1,132.7,134.1,0.08,0.349,0.307,0.327,0.262,0.272,0.086,0.136,0.187,0.185,0.111,0.019,0.031,0.083,0.009,0.169,0.17,0.0,0.104,0.0,0.177,0.241,0,0.842,2,0,0.8782000000000001,0,151.1,-12.71,1.74,0,0.869,0.5065,0.2375,0.897,0.5311,0.195,0.864,0.5064,0.2592,0.84,0.51,0.2701,0.893,0.4894,0.2538,0.976,0.5287,0.2116,0.991,0.5747,0.2666,0.876,0.5532,0.2195,0.929,0.4848,0.291,0.905,0.5399,0.3065,0.819,0.571,0.3225,0.919,0,0,0.0051495016611295685,0.0
206,47,2,moderate_cheating,7,38.0,9,83.3,1,1,6,3,6,3,0,4,4,2088.0,413.0,0.00847,0.247,1519.3,2314.5,0.302,128.7,0.71,-1.027,2.17,-18.699,13.54,11.892,15.314,29.699,6.252,-17.164,-21.761,-1.14,-4.998,22.274,0.016,0.69,-2.325,2.457,0.327,1.383,3.807,0.059,-0.985,-2.275,-0.527,-1.782,-0.057,3,0,0.496,0.49,0.5515,0.4931,-0.0173,-0.043,-0.0522,-0.0193,-1.71,-2.79,12.3,356.0,310.1,0,0.9159,0.4574,1,123.5,140.4,0.091,0.382,0.359,0.421,0.293,0.034,0.0,0.067,0.217,0.0,0.191,0.168,0.0,0.116,0.011,0.0,0.105,0.0,0.17,0.247,0.144,0.139,0,0.849,3,2,0.7662333333333334,0,174.3,5.3,-4.0,0,0.886,0.3498,0.4136,0.789,0.4433,0.2372,0.936,0.5132,0.2224,0.919,0.4508,0.2498,0.978,0.4613,0.2058,0.922,0.4976,0.303,0.877,0.4359,0.2789,0.942,0.3865,0.2538,1.01,0.4872,0.2504,0.99,0.4693,0.2702,0.956,0.4735,0.2579,0.983,0,0,0.018199233716475097,0.6666666666666666
207,36,2,moderate_cheating,11,50.6,4,28.7,2,0,3,1,4,2,0,2,0,1916.0,543.0,0.00999,0.1654,2921.5,4696.6,0.3219,145.1,1.71,-6.254,-5.452,-7.159,4.034,-26.982,-35.475,6.604,22.387,-25.724,-26.029,-0.555,-1.106,10.666,-0.765,0.846,-0.561,-0.013,-2.387,-3.825,-0.49,1.464,-2.172,-1.512,-0.23,0.563,2.079,2,1,0.2896,0.4862,0.3388,0.4919,-0.4859,0.0198,-0.5032,0.0262,-49.92,1.3,15.0,144.7,284.4,1,0.18,0.9749,0,100.7,142.1,0.243,0.379,0.407,0.52,0.788,0.195,0.972,0.807,0.157,0.11,0.016,0.124,0.099,0.054,0.132,0.163,0.175,0.044,0.149,0.691,0.653,0.419,4,0.801,1,1,0.932,0,157.1,9.38,14.92,0,1.34,0.7273,0.2966,0.795,0.7161,0.4006,0.806,0.6674,0.2733,0.967,0.6614,0.4175,0.711,0.7206,0.3927,0.804,0.6763,0.3605,0.923,0.705,0.3195,0.88,0.5772,0.2965,0.89,0.6621,0.3522,0.917,0.6472,0.3502,0.923,0.711,0.3944,0.805,2,0,0.02640918580375783,1.0
208,9,0,honest,2,9.3,2,31.1,0,0,0,0,1,0,0,4,5,2128.0,476.0,0.01254,0.1721,3092.9,4599.1,0.2232,120.8,1.92,0.479,10.391,-23.731,8.863,10.721,-21.991,13.252,34.621,-5.87,-5.407,-28.721,-11.481,12.778,-0.237,-0.216,-2.797,0.802,0.82,-2.21,0.843,2.76,-1.52,-2.06,-3.411,-2.313,3.421,2,1,0.5377,0.4904,0.5948,0.4912,0.0446,-0.0589,0.0739,-0.0393,7.78,-4.22,11.2,321.9,211.3,0,0.9945,0.3747,1,131.4,156.8,0.124,0.277,0.373,0.275,0.281,0.7,0.571,0.111,0.313,0.622,0.104,0.038,0.321,0.066,0.309,0.037,0.0,0.443,0.466,0.67,0.221,0.0,2,0.733,1,0,1.0,0,160.1,8.43,23.58,0,0.904,0.3876,0.3915,0.813,0.3466,0.3294,1.146,0.3514,0.334,0.861,0.3971,0.4325,0.754,0.4113,0.387,0.917,0.4001,0.4458,0.77,0.3152,0.3551,0.819,0.3772,0.3308,0.807,0.3484,0.3519,0.915,0.3268,0.384,0.967,0.3675,0.413,0.971,1,0,0.0043703007518797,0.0
209,79,3,severe_cheating,25,121.0,10,96.0,4,2,10,6,10,7,1,5,7,2144.0,539.0,0.00897,0.201,3267.7,4591.2,0.2557,117.7,1.38,14.101,-0.752,-24.569,7.473,4.968,8.193,-13.499,-11.197,7.09,-7.94,5.852,5.544,4.548,-0.841,1.442,-1.433,-0.686,-0.196,1.982,-1.901,0.146,-1.02,-0.802,0.227,1.167,0.891,2,1,0.676,0.4716,0.7314,0.4681,0.3315,-0.0045,0.3349,-0.0047,35.02,-2.14,16.5,137.3,455.8,1,0.8549,0.3801,1,109.6,121.2,0.247,0.284,0.348,0.15,0.314,0.895,0.776,0.233,0.0,0.595,0.276,0.493,0.494,0.481,0.289,0.577,0.086,0.494,0.577,0.367,0.172,0.211,5,0.624,1,1,0.9724,0,140.0,-4.36,5.9,0,2.8,0.4724,0.388,1.042,0.4884,0.3776,0.793,0.4648,0.3196,0.894,0.5314,0.3037,0.787,0.5498,0.2556,0.831,0.5001,0.2383,0.802,0.4168,0.2725,0.906,0.5956,0.2243,0.797,0.4555,0.2745,0.932,0.5332,0.2911,0.966,0.4509,0.2525,0.989,4,1,0.05643656716417911,1.0
210,87,3,severe_cheating,24,84.3,13,108.9,1,4,10,8,13,7,0,1,4,1750.0,515.0,0.051,0.123,2060.9,3971.6,0.0035,117.6,2.7,-21.512,-1.045,-0.272,-13.478,-17.336,2.526,27.295,-8.328,-7.843,-15.892,3.72,-9.487,14.411,-0.197,-2.415,-0.977,0.466,-2.337,-0.488,3.535,-1.848,-1.67,-0.781,-0.02,0.256,1.511,1,1,0.4969,0.6254,0.551,0.6307,-0.0332,0.3966,-0.013,0.4136,0.14,39.22,11.0,385.8,306.4,0,0.9481,0.2124,1,126.0,144.2,0.009,0.342,0.377,0.4,0.28,0.164,0.046,0.007,0.079,0.0,0.264,0.101,0.19,0.117,0.112,0.014,0.1,0.0,0.0,0.121,0.158,0.123,0,0.601,2,1,0.93485,0,162.5,-4.57,0.88,1,2.622,0.4618,0.3334,0.866,0.4335,0.3298,0.9,0.4855,0.2967,0.88,0.5421,0.2441,0.872,0.5687,0.3187,0.931,0.4274,0.3451,0.97,0.545,0.2388,0.777,0.5757,0.3286,1.106,0.5017,0.27,0.996,0.4784,0.1979,0.906,0.4902,0.2785,0.975,5,1,0.048171428571428566,0.5
211,28,1,minor_infractions,7,33.8,5,51.2,1,1,1,0,3,2,0,4,1,1605.0,554.0,0.00154,0.0429,429.9,1005.1,0.133,120.2,0.9,-14.126,4.985,8.465,22.991,1.308,-0.15,-7.999,-4.655,2.236,-12.184,5.463,11.128,-27.578,-3.122,0.373,1.544,0.473,-0.108,-1.335,-0.262,2.511,0.156,-2.364,-0.837,0.075,-4.456,0,0,0.4846,0.5768,0.5502,0.5685,0.0047,0.1091,0.0109,0.0787,1.1,5.51,14.6,340.5,346.5,0,0.4172,0.7648,0,108.6,117.7,0.037,0.263,0.277,0.281,0.283,0.114,0.084,0.085,0.246,0.079,0.03,0.015,0.0,0.204,0.061,0.052,0.127,0.225,0.172,0.098,0.03,0.045,3,0.813,1,0,0.9546,0,149.3,-7.78,0.63,0,2.488,0.4606,0.2531,0.958,0.4454,0.2655,0.789,0.5759,0.237,0.843,0.5312,0.2617,0.839,0.4278,0.3785,0.814,0.4702,0.2571,0.869,0.4716,0.1882,0.871,0.469,0.2897,0.769,0.4554,0.2407,0.937,0.4143,0.2697,0.871,0.4551,0.2278,0.869,4,1,0.021059190031152645,0.0
212,1,0,honest,0,0.0,1,5.5,0,0,1,0,1,0,0,1,2,1760.0,509.0,0.04345,0.1155,1938.1,2955.3,0.073,158.6,5.77,3.729,28.716,28.212,7.522,16.762,6.432,-6.376,3.788,5.05,12.55,-21.973,27.17,-4.476,1.522,4.04,2.777,0.299,0.269,0.448,-0.722,0.14,1.181,2.398,-2.881,3.041,-0.47,1,1,0.6351,0.6286,0.6965,0.6241,0.2725,0.2365,0.2639,0.2932,25.19,26.92,16.6,127.4,416.4,1,0.2317,1.4945,0,137.4,131.3,0.133,0.334,0.361,0.308,0.285,0.8,0.412,0.302,0.048,0.541,0.137,0.054,0.171,0.031,0.306,0.133,0.054,0.321,0.449,0.552,0.104,0.082,2,0.715,1,1,0.8669,0,151.3,-2.42,1.56,0,1.467,0.502,0.2657,0.835,0.494,0.2434,0.841,0.499,0.2613,0.896,0.5094,0.2671,0.911,0.4859,0.3255,0.729,0.507,0.2786,0.97,0.516,0.2839,0.85,0.5498,0.2498,0.907,0.3944,0.2285,1.003,0.5069,0.2652,0.792,0.5343,0.158,0.768,6,1,0.0,1.0
213,35,1,minor_infractions,2,2.4,3,27.0,0,0,2,0,3,0,0,1,2,1824.0,448.0,0.04985,0.1408,2617.6,3515.2,0.1043,129.5,4.81,-2.89,-7.222,8.435,14.766,6.111,-7.017,16.39,3.952,7.731,-8.389,-8.797,14.975,-25.644,-1.828,-1.074,-0.654,0.345,0.355,-1.23,2.018,1.147,0.619,-0.425,-1.039,0.912,-3.976,1,1,0.5156,0.5835,0.5851,0.5883,-0.041,0.1782,-0.0145,0.1562,-0.98,15.37,15.7,263.7,437.5,1,0.9018,0.4171,1,135.8,126.0,0.315,0.324,0.35,0.296,0.241,0.812,0.8,0.019,0.119,0.52,0.265,0.683,0.545,0.277,0.496,0.356,0.254,0.634,0.553,0.21,0.147,0.335,5,0.716,2,2,0.8664000000000001,1,164.8,5.55,-3.91,0,2.068,0.5224,0.2191,0.789,0.5451,0.2435,0.964,0.5296,0.2592,0.777,0.4693,0.2831,0.787,0.4264,0.2407,0.822,0.5266,0.2813,0.923,0.4822,0.2569,0.889,0.5286,0.2532,0.919,0.5557,0.2942,0.877,0.474,0.2786,0.806,0.4834,0.2456,0.883,4,1,0.0013157894736842105,1.0
214,91,3,severe_cheating,30,129.4,18,186.3,1,3,9,10,15,8,1,2,0,1996.0,530.0,0.00222,0.0435,695.1,582.7,0.1233,109.6,0.81,-0.359,-0.696,7.135,6.322,28.229,-20.241,-3.466,25.699,33.167,1.074,-1.486,10.631,4.503,1.137,-0.951,2.484,2.714,2.185,-1.729,1.195,1.624,4.472,1.151,-0.621,2.871,0.802,0,0,0.5107,0.4933,0.5761,0.4991,0.0318,-0.0191,-0.0037,0.0035,-0.18,-0.02,6.3,292.2,223.6,0,0.8683,0.3021,1,114.8,135.6,0.366,0.378,0.316,0.435,0.65,0.0,0.932,0.731,0.113,0.185,0.0,0.061,0.099,0.01,0.0,0.0,0.328,0.119,0.075,0.912,0.65,0.238,4,0.899,3,2,0.8622,0,142.6,-6.18,10.69,0,0.012,0.5435,0.4719,0.784,0.5223,0.515,0.809,0.5898,0.3767,0.952,0.5156,0.4613,0.866,0.5778,0.3991,0.758,0.4665,0.4324,0.824,0.4853,0.4986,0.744,0.5033,0.3814,0.863,0.5708,0.4325,0.867,0.5084,0.4367,0.88,0.4982,0.5058,0.863,3,0,0.06482965931863728,0.6666666666666666
215,2,0,honest,0,0.0,2,22.9,0,0,1,0,1,0,0,3,3,1816.0,490.0,0.00811,0.1959,2094.7,3016.6,0.2849,113.2,1.02,4.96,-5.383,3.404,-9.506,-3.295,10.026,33.739,-26.222,6.358,-9.094,-26.346,21.221,-3.896,0.097,-0.655,-0.404,-1.021,-1.377,0.838,3.534,-4.801,-0.871,-0.627,-1.363,3.165,-1.54,3,0,0.5714,0.5318,0.6296,0.5352,0.157,0.0452,0.1558,0.0711,14.69,3.75,13.3,270.2,371.7,1,0.8806,0.2018,1,115.5,143.3,0.306,0.358,0.375,0.442,0.46,0.008,0.936,0.655,0.078,0.077,0.004,0.205,0.073,0.311,0.0,0.149,0.073,0.122,0.295,0.727,0.575,0.132,4,0.827,1,1,0.9145,0,136.8,3.26,-3.08,0,1.786,0.5448,0.3179,0.925,0.5869,0.3517,0.856,0.5419,0.2926,0.766,0.5511,0.2752,0.809,0.5094,0.3724,0.918,0.5825,0.3794,0.995,0.5443,0.2676,0.796,0.4841,0.3422,0.884,0.5559,0.2296,0.86,0.4991,0.3631,1.009,0.5804,0.3462,0.801,4,1,0.0,1.0
216,0,0,honest,1,3.6,0,0.0,0,0,0,0,1,0,0,1,4,1504.0,511.0,0.01184,0.2026,3325.4,5068.5,0.3022,119.0,2.21,8.321,-17.039,10.667,-21.977,-30.965,1.851,5.177,13.355,2.504,-20.692,-11.056,-15.135,40.962,-0.327,-1.27,1.385,-2.886,-1.726,-0.426,1.289,2.781,-0.047,-1.739,-0.885,-0.529,4.466,2,1,0.359,0.4651,0.4144,0.4709,-0.3196,-0.0675,-0.329,-0.0662,-32.73,-4.95,15.1,202.7,369.0,1,0.8613,0.3265,1,116.1,147.3,0.086,0.394,0.324,0.076,0.347,0.4,0.0,0.228,0.285,0.134,0.085,0.104,0.079,0.238,0.042,0.079,0.364,0.135,0.204,0.145,0.128,0.186,3,0.754,3,2,0.7843333333333332,0,168.8,-2.55,16.04,0,1.036,0.3818,0.3498,0.978,0.3739,0.351,0.98,0.4044,0.2725,0.898,0.3467,0.3168,0.815,0.3906,0.3963,0.829,0.4106,0.3844,0.936,0.3729,0.3459,0.9,0.4207,0.4088,0.88,0.3437,0.3617,0.867,0.4224,0.3696,0.852,0.3777,0.3365,0.853,1,0,0.0023936170212765957,0.6666666666666666
217,17,0,honest,0,0.0,1,0.5,0,0,1,0,0,0,0,3,7,1523.0,499.0,0.00834,0.1399,2943.1,4723.1,0.4134,120.0,2.13,-13.193,-9.896,-4.773,-27.051,-20.147,3.708,3.178,48.87,3.68,31.144,17.721,22.922,-6.328,-2.502,-0.086,0.88,-1.773,-3.037,1.272,-1.003,3.96,0.434,3.227,2.67,3.572,-0.362,2,1,0.4536,0.6399,0.5074,0.6411,-0.0742,0.29,-0.1039,0.2794,-9.96,27.98,9.8,380.1,194.6,0,0.2515,0.9439,0,111.8,137.1,0.033,0.306,0.382,0.715,0.791,0.515,0.282,0.064,0.151,0.684,0.22,0.203,0.527,0.0,0.054,0.202,0.0,0.022,0.054,0.146,0.101,0.268,1,0.879,2,1,0.9286,0,174.6,-10.11,-0.34,0,2.193,0.4877,0.3557,0.859,0.5011,0.3336,0.89,0.5743,0.3157,0.799,0.5406,0.3232,0.866,0.4604,0.3225,0.803,0.5427,0.3333,0.896,0.59,0.3431,0.948,0.5349,0.2992,0.978,0.5387,0.3294,0.861,0.4539,0.2125,0.832,0.504,0.342,0.864,6,1,0.0,0.5
